date,ONB,ORI,OSBC,OLN,OLLI
2012-06-17,2,24,0,1,11
2012-06-24,1,27,0,2,10
2012-07-01,2,27,0,2,11
2012-07-08,1,26,0,2,8
2012-07-15,1,28,0,1,8
2012-07-22,2,30,0,2,8
2012-07-29,2,31,0,4,7
2012-08-05,2,32,0,2,8
2012-08-12,1,32,0,1,9
2012-08-19,2,29,0,1,10
2012-08-26,2,31,0,1,9
2012-09-02,2,33,0,1,9
2012-09-09,2,31,0,1,9
2012-09-16,1,33,0,1,12
2012-09-23,2,31,0,1,10
2012-09-30,2,31,0,1,11
2012-10-07,2,26,0,1,10
2012-10-14,2,27,0,1,9
2012-10-21,1,28,0,1,10
2012-10-28,2,25,0,1,12
2012-11-04,2,28,0,1,10
2012-11-11,2,26,0,1,12
2012-11-18,2,30,0,1,11
2012-11-25,2,27,0,1,10
2012-12-02,2,26,0,1,9
2012-12-09,2,28,0,1,10
2012-12-16,2,28,0,1,9
2012-12-23,1,33,0,2,9
2012-12-30,2,30,0,2,11
2013-01-06,2,29,0,2,12
2013-01-13,1,28,0,1,9
2013-01-20,1,28,0,1,10
2013-01-27,1,27,0,1,10
2013-02-03,2,30,0,1,9
2013-02-10,2,32,0,1,9
2013-02-17,2,28,0,1,12
2013-02-24,2,29,0,1,13
2013-03-03,2,26,0,1,12
2013-03-10,2,26,0,1,10
2013-03-17,2,26,0,1,13
2013-03-24,2,26,0,2,16
2013-03-31,1,29,0,1,11
2013-04-07,1,29,0,1,13
2013-04-14,2,30,0,1,12
2013-04-21,2,27,0,1,14
2013-04-28,2,29,0,1,13
2013-05-05,2,30,0,1,16
2013-05-12,2,28,0,1,11
2013-05-19,2,28,0,1,9
2013-05-26,2,29,0,1,10
2013-06-02,2,31,0,1,13
2013-06-09,1,31,0,1,9
2013-06-16,1,28,0,1,8
2013-06-23,2,28,0,1,8
2013-06-30,1,30,0,2,11
2013-07-07,1,28,0,1,9
2013-07-14,2,30,0,1,8
2013-07-21,1,29,0,1,8
2013-07-28,2,28,0,1,9
2013-08-04,1,24,0,1,10
2013-08-11,2,28,0,1,9
2013-08-18,1,26,0,1,9
2013-08-25,2,27,0,1,14
2013-09-01,2,30,0,1,12
2013-09-08,2,25,0,1,11
2013-09-15,2,27,0,1,9
2013-09-22,2,28,0,1,8
2013-09-29,2,26,0,1,10
2013-10-06,2,29,0,1,9
2013-10-13,1,29,0,1,10
2013-10-20,2,27,0,1,11
2013-10-27,2,29,0,1,10
2013-11-03,2,30,0,1,11
2013-11-10,2,30,0,1,11
2013-11-17,2,33,0,1,11
2013-11-24,2,31,0,1,9
2013-12-01,2,29,0,1,11
2013-12-08,2,32,0,1,9
2013-12-15,1,32,0,1,13
2013-12-22,2,37,0,1,10
2013-12-29,2,35,0,1,11
2014-01-05,2,34,0,1,12
2014-01-12,2,33,0,1,11
2014-01-19,2,31,0,1,12
2014-01-26,2,35,0,1,10
2014-02-02,2,33,0,1,12
2014-02-09,2,33,0,1,15
2014-02-16,2,30,0,1,20
2014-02-23,1,32,0,1,12
2014-03-02,2,32,0,1,11
2014-03-09,3,34,0,1,13
2014-03-16,2,33,0,1,11
2014-03-23,2,33,0,1,12
2014-03-30,2,32,0,1,12
2014-04-06,2,36,0,1,13
2014-04-13,2,36,0,1,12
2014-04-20,2,36,0,1,10
2014-04-27,2,38,0,1,10
2014-05-04,2,36,0,1,12
2014-05-11,1,36,0,1,13
2014-05-18,2,36,0,1,11
2014-05-25,1,37,0,1,11
2014-06-01,2,37,0,1,9
2014-06-08,2,44,0,1,10
2014-06-15,1,40,0,1,9
2014-06-22,2,39,0,1,11
2014-06-29,1,39,0,1,12
2014-07-06,2,41,0,1,9
2014-07-13,2,42,0,1,9
2014-07-20,1,37,0,1,8
